Ingredient_Name,Description,Health_Risk_Score,Is_Allergen
"Zinc Chlorite","Zinc salt of chlorous acid, used in water treatment and as a disinfectant in various applications",3,FALSE
"Copper Chlorite","Copper salt of chlorous acid, employed in water treatment and as a disinfectant in specific circumstances",3,FALSE
"Sodium Chlorate","Sodium salt of chloric acid, used in the manufacture of chlorine dioxide and in some herbicides",3,FALSE
"Potassium Chlorate","Potassium salt of chloric acid, used in the production of matches, fireworks, and as an oxidizing agent",3,FALSE
"Calcium Chlorate","Calcium salt of chloric acid, used in pyrotechnics, explosives, and as an oxidizing agent",3,FALSE
"Ammonium Chlorate","Ammonium salt of chloric acid, utilized in the manufacture of explosives and in some laboratory processes",3,FALSE
"Magnesium Chlorate","Magnesium salt of chloric acid, used in pyrotechnics and in some industrial applications as an oxidizing agent",3,FALSE
"Aluminum Chlorate","Aluminum salt of chloric acid, used in the manufacture of fireworks, explosives, and as an oxidizing agent",3,FALSE
"Iron Chlorate","Iron salt of chloric acid, used in the manufacture of fireworks, explosives, and in some laboratory processes",3,FALSE
"Zinc Chlorate","Zinc salt of chloric acid, used in the manufacture of matches, explosives, and as an oxidizing agent",3,FALSE
"Copper Chlorate","Copper salt of chloric acid, used in the manufacture of matches, explosives, and as an oxidizing agent",3,FALSE
"Sodium Perchlorate","Sodium salt of perchloric acid, used as an oxidizing agent, in pyrotechnics, and in rocket fuel",3,FALSE
"Potassium Perchlorate","Potassium salt of perchloric acid, used in fireworks, explosives, and as an oxidizing agent",3,FALSE
"Calcium Perchlorate","Calcium salt of perchloric acid, used in fireworks, explosives, and in some laboratory processes",3,FALSE
"Ammonium Perchlorate","Ammonium salt of perchloric acid, used primarily as an oxidizing agent in rocket fuel and explosives",3,FALSE
"Magnesium Perchlorate","Magnesium salt of perchloric acid, used in pyrotechnics, fireworks, and as a laboratory reagent",3,FALSE
"Aluminum Perchlorate","Aluminum salt of perchloric acid, used in pyrotechnics, fireworks, and as an oxidizing agent",3,FALSE
"Iron Perchlorate","Iron salt of perchloric acid, used in pyrotechnics, fireworks, and as an oxidizing agent in laboratory processes",3,FALSE
"Zinc Perchlorate","Zinc salt of perchloric acid, used in pyrotechnics, fireworks, and as an oxidizing agent",3,FALSE
"Copper Perchlorate","Copper salt of perchloric acid, used in pyrotechnics, fireworks, and as an oxidizing agent",3,FALSE
"Sodium Bromide","Sodium salt of hydrobromic acid, used in pharmaceuticals, photography, and as a disinfectant",2,FALSE
"Potassium Bromide","Potassium salt of hydrobromic acid, used in pharmaceuticals and as a chemical reagent",2,FALSE
"Calcium Bromide","Calcium salt of hydrobromic acid, used in drilling fluids for oil and gas extraction",2,FALSE
"Ammonium Bromide","Ammonium salt of hydrobromic acid, used in photography, pharmaceuticals, and as a flame retardant",2,FALSE
"Iron Bromide","Iron salt of hydrobromic acid, used in chemical synthesis and as a catalyst in various reactions",2,FALSE
"Zinc Bromide","Zinc salt of hydrobromic acid, employed in chemical synthesis, oil and gas extraction, and as a flame retardant",2,FALSE
"Copper Bromide","Copper salt of hydrobromic acid, used in organic synthesis, as a catalyst, and in photography",2,FALSE
"Sodium Iodide","Sodium salt of hydriodic acid, used in pharmaceuticals, iodized salt, and as a nutritional supplement",1,FALSE
"Potassium Iodide","Potassium salt of hydriodic acid, used in pharmaceuticals, iodized salt, and as a source of iodine",1,FALSE
"Calcium Iodide","Calcium salt of hydriodic acid, used in pharmaceuticals, dietary supplements, and as a source of iodine",1,FALSE
"Ammonium Iodide","Ammonium salt of hydriodic acid, used in photography, as a chemical reagent, and in pharmaceuticals",2,FALSE
"Magnesium Iodide","Magnesium salt of hydriodic acid, used in pharmaceuticals and as a source of iodine in dietary supplements",1,FALSE
"Aluminum Iodide","Aluminum salt of hydriodic acid, used in organic synthesis and as a catalyst in certain reactions",2,FALSE
"Iron Iodide","Iron salt of hydriodic acid, used in chemical synthesis, as a reagent, and in pharmaceuticals",2,FALSE
"Zinc Iodide","Zinc salt of hydriodic acid, used in chemical synthesis, as a dietary supplement, and in pharmaceuticals",1,FALSE
"Copper Iodide","Copper salt of hydriodic acid, used in organic synthesis, as a catalyst, and in some pharmaceuticals",2,FALSE
"Sodium Fluoride","Sodium salt of hydrofluoric acid, used in dental products, water fluoridation, and as a chemical reagent",2,FALSE
"Potassium Fluoride","Potassium salt of hydrofluoric acid, used in chemical synthesis, as a flux in metal processing, and as a preservative",2,FALSE
"Calcium Fluoride","Calcium salt of hydrofluoric acid, used in optical applications, ceramics, and as a mineral supplement",1,FALSE
"Ammonium Fluoride","Ammonium salt of hydrofluoric acid, used in chemical synthesis, metal surface treatment, and as a preservative",2,FALSE
"Magnesium Fluoride","Magnesium salt of hydrofluoric acid, used in optical coatings, ceramics, and as a flux in metal processing",1,FALSE
"Aluminum Fluoride","Aluminum salt of hydrofluoric acid, used in aluminum production, ceramics, and as a pesticide",3,FALSE
"Iron Fluoride","Iron salt of hydrofluoric acid, used in chemical synthesis, as a catalyst, and in some pharmaceuticals",2,FALSE
"Zinc Fluoride","Zinc salt of hydrofluoric acid, used in dental products, water fluoridation, and as a chemical reagent",2,FALSE
"Copper Fluoride","Copper salt of hydrofluoric acid, used in chemical synthesis, as a catalyst, and in some dental products",2,FALSE
"Sodium Nitrate","Sodium salt of nitric acid, used in fertilizers, food preservation, and as a chemical precursor",2,FALSE
"Potassium Nitrate","Potassium salt of nitric acid, used in fertilizers, fireworks, and in food preservation",2,FALSE
"Calcium Nitrate","Calcium salt of nitric acid, used in fertilizers, concrete admixtures, and in wastewater treatment",2,FALSE
"Ammonium Nitrate","Ammonium salt of nitric acid, used in fertilizers, explosives, and as a component in cold packs",3,FALSE
"Magnesium Nitrate","Magnesium salt of nitric acid, used in fireworks, pyrotechnics, and as a catalyst in chemical reactions",2,FALSE
"Aluminum Nitrate","Aluminum salt of nitric acid, used in chemical synthesis, as a catalyst, and in some industrial processes",2,FALSE
"Iron Nitrate","Iron salt of nitric acid, used in chemical synthesis, as a catalyst, and in some laboratory applications",2,FALSE
"Zinc Nitrate","Zinc salt of nitric acid, used in chemical synthesis, as a catalyst, and in some industrial processes",2,FALSE
"Copper Nitrate","Copper salt of nitric acid, used in chemical synthesis, as a catalyst, and in some industrial applications",2,FALSE
"Sodium Phosphate","Sodium salt of phosphoric acid, used as a food additive, detergent builder, and in water treatment",2,FALSE
"Potassium Phosphate","Potassium salt of phosphoric acid, used as a food additive, fertilizer, and in pharmaceuticals",2,FALSE
"Calcium Phosphate","Calcium salt of phosphoric acid, used as a food additive, dietary supplement, and in pharmaceuticals",2,FALSE
"Ammonium Phosphate","Ammonium salt of phosphoric acid, used as a fertilizer, fire retardant, and in yeast nutrients",3,FALSE
"Magnesium Phosphate","Magnesium salt of phosphoric acid, used as a dietary supplement, food additive, and in pharmaceuticals",2,FALSE
"Aluminum Phosphate","Aluminum salt of phosphoric acid, used as a food additive, in dental products, and in some medications",2,FALSE
"Iron Phosphate","Iron salt of phosphoric acid, used as a dietary supplement, food additive, and in some pharmaceuticals",2,FALSE
"Zinc Phosphate","Zinc salt of phosphoric acid, used as a corrosion inhibitor, pigment, and in dental cements",2,FALSE
"Copper Phosphate","Copper salt of phosphoric acid, used as a fungicide, algaecide, and in some ceramic glazes",2,FALSE
"Sodium Pyrophosphate","Sodium salt of pyrophosphoric acid, used as a food additive, buffering agent, and in detergents",2,FALSE
"Potassium Pyrophosphate","Potassium salt of pyrophosphoric acid, used as a buffering agent, emulsifier, and in food processing",2,FALSE
"Potassium Pyrophosphate","Potassium salt of pyrophosphoric acid, used as a buffering agent, emulsifier, and in food processing",2,FALSE
"Calcium Pyrophosphate","Calcium salt of pyrophosphoric acid, used in dental products, as a food additive, and in pharmaceuticals",2,FALSE
"Ammonium Pyrophosphate","Ammonium salt of pyrophosphoric acid, used as a fertilizer, in food processing, and as a corrosion inhibitor",3,FALSE
"Magnesium Pyrophosphate","Magnesium salt of pyrophosphoric acid, used as a dietary supplement and in pharmaceuticals",2,FALSE
"Aluminum Pyrophosphate","Aluminum salt of pyrophosphoric acid, used as a food additive, in dental products, and in pharmaceuticals",2,FALSE
"Iron Pyrophosphate","Iron salt of pyrophosphoric acid, used as a dietary supplement and in pharmaceuticals",2,FALSE
"Zinc Pyrophosphate","Zinc salt of pyrophosphoric acid, used as a dietary supplement and in dental products",2,FALSE
"Copper Pyrophosphate","Copper salt of pyrophosphoric acid, used in ceramic glazes, as a pigment, and in dental materials",2,FALSE
"Sodium Triphosphate","Sodium salt of triphosphoric acid, used as a cleaning agent, water softener, and in food processing",3,FALSE
"Potassium Triphosphate","Potassium salt of triphosphoric acid, used as a sequestrant, emulsifier, and in food processing",3,FALSE
"Calcium Triphosphate","Calcium salt of triphosphoric acid, used as a dietary supplement, food additive, and in dental products",2,FALSE
"Ammonium Triphosphate","Ammonium salt of triphosphoric acid, used as a fertilizer, fire retardant, and in some industrial applications",3,FALSE
"Magnesium Triphosphate","Magnesium salt of triphosphoric acid, used as a dietary supplement and in some pharmaceuticals",2,FALSE
"Aluminum Triphosphate","Aluminum salt of triphosphoric acid, used in ceramics, as a flame retardant, and in dental materials",3,FALSE
"Iron Triphosphate","Iron salt of triphosphoric acid, used in dietary supplements and in some pharmaceutical formulations",2,FALSE
"Zinc Triphosphate","Zinc salt of triphosphoric acid, used in dental products, as a corrosion inhibitor, and in some medications",2,FALSE
"Copper Triphosphate","Copper salt of triphosphoric acid, used in pigments, ceramic glazes, and as a fungicide",2,FALSE
"Sodium Hexametaphosphate","Sodium salt of hexametaphosphoric acid, used as a sequestrant, emulsifier, and in water treatment",3,FALSE
"Potassium Hexametaphosphate","Potassium salt of hexametaphosphoric acid, used as a sequestrant, emulsifier, and in food processing",3,FALSE
"Calcium Hexametaphosphate","Calcium salt of hexametaphosphoric acid, used as a sequestrant, emulsifier, and in water treatment",3,FALSE
"Ammonium Hexametaphosphate","Ammonium salt of hexametaphosphoric acid, used as a sequestrant, emulsifier, and in water treatment",3,FALSE
"Magnesium Hexametaphosphate","Magnesium salt of hexametaphosphoric acid, used as a sequestrant, emulsifier, and in water treatment",3,FALSE
"Aluminum Hexametaphosphate","Aluminum salt of hexametaphosphoric acid, used as a sequestrant, emulsifier, and in water treatment",3,FALSE
"Iron Hexametaphosphate","Iron salt of hexametaphosphoric acid, used as a sequestrant, emulsifier, and in water treatment",3,FALSE
"Zinc Hexametaphosphate","Zinc salt of hexametaphosphoric acid, used as a sequestrant, emulsifier, and in water treatment",3,FALSE
"Copper Hexametaphosphate","Copper salt of hexametaphosphoric acid, used as a sequestrant, emulsifier, and in water treatment",3,FALSE
"Sodium Tetraphosphate","Sodium salt of tetraphosphoric acid, used as a sequestrant, emulsifier, and in water treatment",3,FALSE
"Potassium Tetraphosphate","Potassium salt of tetraphosphoric acid, used as a sequestrant, emulsifier, and in food processing",3,FALSE
"Calcium Tetraphosphate","Calcium salt of tetraphosphoric acid, used as a sequestrant, emulsifier, and in water treatment",3,FALSE
"Ammonium Tetraphosphate","Ammonium salt of tetraphosphoric acid, used as a sequestrant, emulsifier, and in water treatment",3,FALSE
"Magnesium Tetraphosphate","Magnesium salt of tetraphosphoric acid, used as a sequestrant, emulsifier, and in food processing",3,FALSE
"Aluminum Tetraphosphate","Aluminum salt of tetraphosphoric acid, used as a sequestrant, emulsifier, and in food processing",3,FALSE
"Iron Tetraphosphate","Iron salt of tetraphosphoric acid, used as a sequestrant, emulsifier, and in food processing",3,FALSE
"Zinc Tetraphosphate","Zinc salt of tetraphosphoric acid, used as a sequestrant, emulsifier, and in food processing",3,FALSE
"Copper Tetraphosphate","Copper salt of tetraphosphoric acid, used as a sequestrant, emulsifier, and in food processing",3,FALSE
"Sodium Trimetaphosphate","Sodium salt of trimetaphosphoric acid, used as a sequestrant, emulsifier, and in food processing",3,FALSE
"Potassium Trimetaphosphate","Potassium salt of trimetaphosphoric acid, used as a sequestrant, emulsifier, and in food processing",3,FALSE
"Calcium Trimetaphosphate","Calcium salt of trimetaphosphoric acid, used as a sequestrant, emulsifier, and in food processing",3,FALSE
"Ammonium Trimetaphosphate","Ammonium salt of trimetaphosphoric acid, used as a sequestrant, emulsifier, and in food processing",3,FALSE
"Magnesium Trimetaphosphate","Magnesium salt of trimetaphosphoric acid, used as a sequestrant, emulsifier, and in food processing",3,FALSE
"Aluminum Trimetaphosphate","Aluminum salt of trimetaphosphoric acid, used as a sequestrant, emulsifier, and in food processing",3,FALSE
"Iron Trimetaphosphate","Iron salt of trimetaphosphoric acid, used as a sequestrant, emulsifier, and in food processing",3,FALSE
"Zinc Trimetaphosphate","Zinc salt of trimetaphosphoric acid, used as a sequestrant, emulsifier, and in food processing",3,FALSE
"Copper Trimetaphosphate","Copper salt of trimetaphosphoric acid, used as a sequestrant, emulsifier, and in food processing",3,FALSE
"Sodium Diacetate","Sodium salt of acetic acid, used as a preservative, acidulant, and flavoring agent",2,FALSE
"Potassium Diacetate","Potassium salt of acetic acid, used as a preservative, acidulant, and flavoring agent",2,FALSE
"Calcium Diacetate","Calcium salt of acetic acid, used as a preservative, acidulant, and flavoring agent",2,FALSE
"Ammonium Diacetate","Ammonium salt of acetic acid, used as a preservative, acidulant, and flavoring agent",2,FALSE
"Magnesium Diacetate","Magnesium salt of acetic acid, used as a preservative, acidulant, and flavoring agent",2,FALSE
"Aluminum Diacetate","Aluminum salt of acetic acid, used as a preservative, acidulant, and flavoring agent",2,FALSE
"Iron Diacetate","Iron salt of acetic acid, used as a preservative, acidulant, and flavoring agent",2,FALSE
"Zinc Diacetate","Zinc salt of acetic acid, used as a preservative, acidulant, and flavoring agent",2,FALSE
"Copper Diacetate","Copper salt of acetic acid, used as a preservative, acidulant, and flavoring agent",2,FALSE
"Sodium Lactate","Sodium salt of lactic acid, used as a preservative, flavoring agent, and humectant in food and cosmetics",2,FALSE
"Potassium Lactate","Potassium salt of lactic acid, used as a preservative, flavoring agent, and humectant in food and cosmetics",2,FALSE
"Calcium Lactate","Calcium salt of lactic acid, used as a firming agent, flavoring agent, and in pharmaceuticals",2,FALSE
"Ammonium Lactate","Ammonium salt of lactic acid, used as a humectant, buffering agent, and in skin care products",2,FALSE
"Magnesium Lactate","Magnesium salt of lactic acid, used as a mineral supplement, flavoring agent, and in pharmaceuticals",2,FALSE
"Aluminum Lactate","Aluminum salt of lactic acid, used as a firming agent, flavoring agent, and in cosmetics",2,FALSE
"Iron Lactate","Iron salt of lactic acid, used as a dietary supplement, flavoring agent, and in pharmaceuticals",2,FALSE
"Zinc Lactate","Zinc salt of lactic acid, used as a dietary supplement, flavoring agent, and in pharmaceuticals",2,FALSE
"Copper Lactate","Copper salt of lactic acid, used as a dietary supplement, flavoring agent, and in pharmaceuticals",2,FALSE
"Sodium Acetate","Sodium salt of acetic acid, used in food industry as a buffer, neutralizer, and seasoning agent",2,FALSE
"Potassium Acetate","Potassium salt of acetic acid, used as a food additive, buffering agent, and in pharmaceuticals",2,FALSE
"Calcium Acetate","Calcium salt of acetic acid, used in food industry as a preservative, acidifier, and sequestrant",2,FALSE
"Ammonium Acetate","Ammonium salt of acetic acid, used in food industry as a pH regulator, buffering agent, and in baking",2,FALSE
"Magnesium Acetate","Magnesium salt of acetic acid, used in food industry as a texturizer, stabilizer, and preservative",2,FALSE
"Aluminum Acetate","Aluminum salt of acetic acid, used in food industry as a preservative, acidifier, and flavor enhancer",2,FALSE
"Iron Acetate","Iron salt of acetic acid, used in food industry as a colorant, flavor enhancer, and in pharmaceuticals",2,FALSE
"Zinc Acetate","Zinc salt of acetic acid, used in food industry as a dietary supplement, flavor enhancer, and in pharmaceuticals",2,FALSE
"Copper Acetate","Copper salt of acetic acid, used in food industry as a colorant, preservative, and in textile industry",2,FALSE
"Sodium Propionate","Sodium salt of propionic acid, used as a preservative in bakery products and other foods",2,FALSE
"Potassium Propionate","Potassium salt of propionic acid, used as a food preservative, mold inhibitor, and in animal feed",2,FALSE
"Calcium Propionate","Calcium salt of propionic acid, used as a food preservative in bakery products and other foods",2,FALSE
"Ammonium Propionate","Ammonium salt of propionic acid, used as a food preservative, mold inhibitor, and in animal feed",2,FALSE
"Magnesium Propionate","Magnesium salt of propionic acid, used as a food preservative, mold inhibitor, and in animal feed",2,FALSE
"Aluminum Propionate","Aluminum salt of propionic acid, used as a food preservative and mold inhibitor",2,FALSE
"Iron Propionate","Iron salt of propionic acid, used as a food preservative, mold inhibitor, and in animal feed",2,FALSE
"Zinc Propionate","Zinc salt of propionic acid, used as a food preservative, mold inhibitor, and in animal feed",2,FALSE
"Copper Propionate","Copper salt of propionic acid, used as a food preservative, mold inhibitor, and in animal feed",2,FALSE
"Sodium Benzoate","Sodium salt of benzoic acid, used as a preservative in food and beverages",2,FALSE
"Potassium Benzoate","Potassium salt of benzoic acid, used as a preservative in food and beverages",2,FALSE
"Calcium Benzoate","Calcium salt of benzoic acid, used as a preservative in food and beverages",2,FALSE
"Ammonium Benzoate","Ammonium salt of benzoic acid, used as a preservative in food and beverages",2,FALSE
"Magnesium Benzoate","Magnesium salt of benzoic acid, used as a preservative in acidic food and beverage products",2,FALSE
"Aluminum Benzoate","Aluminum salt of benzoic acid, used as a preservative in some food and beverage products",2,FALSE
"Iron Benzoate","Iron salt of benzoic acid, used as a preservative in some food and beverage products",2,FALSE
"Zinc Benzoate","Zinc salt of benzoic acid, used as a preservative in some food and beverage products",2,FALSE
"Copper Benzoate","Copper salt of benzoic acid, used as a preservative in some food and beverage products",2,FALSE
"Sodium Sorbate","Sodium salt of sorbic acid, used as a preservative in food and beverages",2,FALSE
"Potassium Sorbate","Potassium salt of sorbic acid, used as a preservative in food and beverages",2,FALSE
"Calcium Sorbate","Calcium salt of sorbic acid, used as a preservative in food and beverages",2,FALSE
"Ammonium Sorbate","Ammonium salt of sorbic acid, used as a preservative in food and beverages",2,FALSE
"Magnesium Sorbate","Magnesium salt of sorbic acid, used as a preservative in food and beverages",2,FALSE
"Aluminum Sorbate","Aluminum salt of sorbic acid, used as a preservative in food and beverages",2,FALSE
"Iron Sorbate","Iron salt of sorbic acid, used as a preservative in food and beverages",2,FALSE
"Zinc Sorbate","Zinc salt of sorbic acid, used as a preservative in food and beverages",2,FALSE
"Copper Sorbate","Copper salt of sorbic acid, used as a preservative in food and beverages",2,FALSE
"Sodium Metabisulfite","Sodium salt of metabisulfurous acid, used as a preservative and antioxidant in food and beverages",3,FALSE
"Potassium Metabisulfite","Potassium salt of metabisulfurous acid, used as a preservative and antioxidant in food and beverages",3,FALSE
"Calcium Metabisulfite","Calcium salt of metabisulfurous acid, used as a preservative and antioxidant in food and beverages",3,FALSE
"Ammonium Metabisulfite","Ammonium salt of metabisulfurous acid, used as a preservative and antioxidant in food and beverages",3,FALSE
"Magnesium Metabisulfite","Magnesium salt of metabisulfurous acid, used as a preservative and antioxidant in food and beverages",3,FALSE
"Aluminum Metabisulfite","Aluminum salt of metabisulfurous acid, used as a preservative and antioxidant in food and beverages",3,FALSE
"Iron Metabisulfite","Iron salt of metabisulfurous acid, used as a preservative and antioxidant in food and beverages",3,FALSE
"Zinc Metabisulfite","Zinc salt of metabisulfurous acid, used as a preservative and antioxidant in food and beverages",3,FALSE
"Copper Metabisulfite","Copper salt of metabisulfurous acid, used as a preservative and antioxidant in food and beverages",3,FALSE
"Sodium Sulfite","Sodium salt of sulfurous acid, used as a preservative, antioxidant, and bleaching agent in food and beverages",3,FALSE
"Potassium Sulfite","Potassium salt of sulfurous acid, used as a preservative, antioxidant, and bleaching agent in food and beverages",3,FALSE
"Calcium Sulfite","Calcium salt of sulfurous acid, used as a preservative, antioxidant, and bleaching agent in food and beverages",2,FALSE
"Ammonium Sulfite","Ammonium salt of sulfurous acid, used as a preservative, antioxidant, and bleaching agent in food and beverages",2,FALSE
"Magnesium Sulfite","Magnesium salt of sulfurous acid, used as a preservative, antioxidant, and bleaching agent in food and beverages",2,FALSE
"Aluminum Sulfite","Aluminum salt of sulfurous acid, used as a preservative, antioxidant, and bleaching agent in food and beverages",2,FALSE
"Iron Sulfite","Iron salt of sulfurous acid, used as a preservative, antioxidant, and bleaching agent in food and beverages",2,FALSE
"Zinc Sulfite","Zinc salt of sulfurous acid, used as a preservative, antioxidant, and bleaching agent in food and beverages",2,FALSE
"Copper Sulfite","Copper salt of sulfurous acid, used as a preservative, antioxidant, and bleaching agent in food and beverages",2,FALSE
"Sodium Bisulfite","Sodium salt of bisulfurous acid, used as a preservative, antioxidant, and bleaching agent in food and beverages",3,FALSE
"Potassium Bisulfite","Potassium salt of bisulfurous acid, used as a preservative, antioxidant, and bleaching agent in food and beverages",3,FALSE
"Calcium Bisulfite","Calcium salt of bisulfurous acid, used as a preservative, antioxidant, and bleaching agent in food and beverages",3,FALSE
"Ammonium Bisulfite","Ammonium salt of bisulfurous acid, used as a preservative, antioxidant, and bleaching agent in food and beverages",3,FALSE
"Magnesium Bisulfite","Magnesium salt of bisulfurous acid, used as a preservative, antioxidant, and bleaching agent in food and beverages",3,FALSE
"Aluminum Bisulfite","Aluminum salt of bisulfurous acid, used as a preservative, antioxidant, and bleaching agent in food and beverages",3,FALSE
"Iron Bisulfite","Iron salt of bisulfurous acid, used as a preservative, antioxidant, and bleaching agent in food and beverages",3,FALSE
"Zinc Bisulfite","Zinc salt of bisulfurous acid, used as a preservative, antioxidant, and bleaching agent in food and beverages",3,FALSE
"Copper Bisulfite","Copper salt of bisulfurous acid, used as a preservative, antioxidant, and bleaching agent in food and beverages",3,FALSE
"Sodium Thiosulfate","Sodium salt of thiosulfuric acid, used in photography, as a dechlorinating agent, and in medical applications",2,FALSE
"Potassium Thiosulfate","Potassium salt of thiosulfuric acid, used in photography, as a dechlorinating agent, and in medical applications",2,FALSE
"Calcium Thiosulfate","Calcium salt of thiosulfuric acid, used in photography, as a dechlorinating agent, and in medical applications",2,FALSE
"Ammonium Thiosulfate","Ammonium salt of thiosulfuric acid, used in photography, as a dechlorinating agent, and in medical applications",2,FALSE
"Magnesium Thiosulfate","Magnesium salt of thiosulfuric acid, used in photography, as a dechlorinating agent, and in medical applications",2,FALSE
"Aluminum Thiosulfate","Aluminum salt of thiosulfuric acid, used in photography, as a dechlorinating agent, and in medical applications",2,FALSE
"Iron Thiosulfate","Iron salt of thiosulfuric acid, used in photography, as a dechlorinating agent, and in medical applications",2,FALSE
"Zinc Thiosulfate","Zinc salt of thiosulfuric acid, used in photography, as a dechlorinating agent, and in medical applications",2,FALSE
"Copper Thiosulfate","Copper salt of thiosulfuric acid, used in photography, as a dechlorinating agent, and in medical applications",2,FALSE
"Sodium Carbonate","Sodium salt of carbonic acid, used in manufacturing, cleaning, and as a water softener",2,FALSE
"Potassium Carbonate","Potassium salt of carbonic acid, used in manufacturing, as a buffering agent, and in the production of glass",2,FALSE
"Calcium Carbonate","Calcium salt of carbonic acid, used in dietary supplements, antacids, and as a filler in pharmaceuticals",2,FALSE
"Ammonium Carbonate","Ammonium salt of carbonic acid, used in baking as a leavening agent and in the manufacturing of ceramics",3,FALSE
"Magnesium Carbonate","Magnesium salt of carbonic acid, used in antacids, dietary supplements, and as a drying agent in pharmaceuticals",2,FALSE
"Aluminum Carbonate","Aluminum salt of carbonic acid, used in the manufacturing of ceramics and as a pigment",2,FALSE
"Iron Carbonate","Iron salt of carbonic acid, used in the manufacturing of pigments, as a coloring agent, and in cosmetics",2,FALSE
"Zinc Carbonate","Zinc salt of carbonic acid, used in the manufacturing of ceramics, as a pigment, and in pharmaceuticals",2,FALSE
"Copper Carbonate","Copper salt of carbonic acid, used in the manufacturing of pigments, as a coloring agent, and in ceramics",2,FALSE
"Sodium Bicarbonate","Sodium salt of bicarbonate ion, commonly known as baking soda, used in baking, cleaning, and as an antacid",2,FALSE
"Potassium Bicarbonate","Potassium salt of bicarbonate ion, used as a buffering agent, in fire extinguishers, and in pharmaceuticals",2,FALSE
"Calcium Bicarbonate","Calcium salt of bicarbonate ion, found naturally in mineral water and used in some antacids and baking powders",2,FALSE
"Ammonium Bicarbonate","Ammonium salt of bicarbonate ion, used in baking as a leavening agent and in the manufacturing of some plastics",3,FALSE
"Magnesium Bicarbonate","Magnesium salt of bicarbonate ion, used in some mineral waters and as a dietary supplement",2,FALSE
"Aluminum Bicarbonate","Aluminum salt of bicarbonate ion, used in some baking powders and as a leavening agent",2,FALSE
"Iron Bicarbonate","Iron salt of bicarbonate ion, used in some mineral supplements and as a source of iron in fortified foods",2,FALSE
"Zinc Bicarbonate","Zinc salt of bicarbonate ion, used in some dietary supplements and as a source of zinc in fortified foods",2,FALSE
"Copper Bicarbonate","Copper salt of bicarbonate ion, used in some dietary supplements and as a source of copper in fortified foods",2,FALSE
"Sodium Citrate","Sodium salt of citric acid, used as a flavoring agent, acidity regulator, and emulsifier in food and beverages",2,FALSE
"Potassium Citrate","Potassium salt of citric acid, used as a buffering agent, flavor enhancer, and dietary supplement",2,FALSE
"Calcium Citrate","Calcium salt of citric acid, used as a dietary supplement, food additive, and in pharmaceuticals",2,FALSE
"Ammonium Citrate","Ammonium salt of citric acid, used as a chelating agent, buffer, and in some food products",2,FALSE
"Magnesium Citrate","Magnesium salt of citric acid, used as a dietary supplement and in some laxatives",2,FALSE
"Aluminum Citrate","Aluminum salt of citric acid, used in some pharmaceutical formulations and as a chelating agent",2,FALSE
"Iron Citrate","Iron salt of citric acid, used as a dietary supplement, food additive, and in some pharmaceuticals",2,FALSE
"Zinc Citrate","Zinc salt of citric acid, used as a dietary supplement and in some oral care products",2,FALSE
"Copper Citrate","Copper salt of citric acid, used as a dietary supplement and in some nutritional formulations",2,FALSE
"Sodium Hydroxide","Sodium salt of hydroxide ion, commonly known as caustic soda, used in manufacturing, cleaning, and as a pH regulator",3,FALSE
"Potassium Hydroxide","Potassium salt of hydroxide ion, used in manufacturing, as a pH regulator, and in some industrial processes",3,FALSE
"Calcium Hydroxide","Calcium salt of hydroxide ion, commonly known as slaked lime, used in manufacturing, construction, and as a pH regulator",2,FALSE
"Ammonium Hydroxide","Ammonium salt of hydroxide ion, used in cleaning products, as a pH regulator, and in some food processing",3,FALSE
"Magnesium Hydroxide","Magnesium salt of hydroxide ion, used as an antacid, laxative, and in some cosmetics",2,FALSE
"Aluminum Hydroxide","Aluminum salt of hydroxide ion, used as an antacid, phosphate binder, and in some vaccines",2,FALSE
"Iron Hydroxide","Iron salt of hydroxide ion, used in water treatment, as a pigment, and in some medications",2,FALSE
"Zinc Hydroxide","Zinc salt of hydroxide ion, used in skin care products, as a pigment, and in some pharmaceuticals",2,FALSE
"Copper Hydroxide","Copper salt of hydroxide ion, used in agriculture as a fungicide and in some industrial processes",2,FALSE
"Sodium Oxide","Sodium salt of oxide ion, used in glass manufacturing, ceramics, and as a desiccant",3,FALSE
"Potassium Oxide","Potassium salt of oxide ion, used in glass manufacturing, ceramics, and as a fertilizer",3,FALSE
"Calcium Oxide","Calcium salt of oxide ion, commonly known as lime, used in construction, agriculture, and as a pH regulator",3,FALSE
"Ammonium Oxide","Ammonium salt of oxide ion, not commonly used due to its instability and reactivity",3,FALSE
"Magnesium Oxide","Magnesium salt of oxide ion, used in medicine as an antacid and laxative, and in the production of magnesium metal",2,FALSE
"Aluminum Oxide","Compound of aluminum and oxygen, used as an abrasive, refractory material, and in the production of aluminum metal",2,FALSE
"Iron Oxide","Compound of iron and oxygen, used as a pigment, in magnetic storage media, and in some industrial applications",2,FALSE
"Zinc Oxide","Compound of zinc and oxygen, used in sunscreens, ointments, paints, and as a dietary supplement",2,FALSE
"Copper Oxide","Compound of copper and oxygen, used in ceramics, as a pigment, and in some electronic applications",2,FALSE
"Sodium Sulfide","Sodium salt of sulfide ion, used in the pulp and paper industry, as a reducing agent, and in the production of rubber",3,FALSE
"Potassium Sulfide","Potassium salt of sulfide ion, used in the production of sulfur dyes, as a depilatory, and in organic synthesis",3,FALSE
